Home,Score
Wayamba United,156.0
Abbottabad Rhinos,165.0
New Zealand A,227.0
Easterns,148.33333333333334
United Arab Emirates,139.08333333333334
Chilaw Marians Cricket Club,155.75
Multan Region,147.5
KwaZulu-Natal Inland,137.25
Surrey,155.7906976744186
Habib Bank Limited,139.4
South Africa,159.5185185185185
Rawalpindi Rams,163.66666666666666
Jamaica Tallawahs,151.8125
Baroda,148.71428571428572
Galle Cricket Club,109.0
Lahore Lions,159.52631578947367
Victoria,167.41666666666666
Uva Next,101.0
Titans,155.475
Kolkata Knight Riders,146.57142857142858
Border,135.7
Canada,133.58333333333334
South Australia,163.375
Pakistan,153.42105263157896
Peshawar Panthers,146.0
St Vincent,96.0
Antigua and Barbuda,153.0
Basnahira Greens,139.0
Eastern Cape,116.0
Hong Kong,129.66666666666666
Basnahira North,126.0
Yorkshire,158.0
Gloucestershire,154.63636363636363
Durham,155.37142857142857
Warriors,145.0857142857143
New South Wales,137.5
Assam,139.0
Gauteng,129.22222222222223
Lankan Cricket Club,93.0
Southern Rocks,122.0
Hyderabad Region,175.0
Bahawalpur Region,154.6
Sylhet Super Stars,112.0
Nondescripts Cricket Club,159.55555555555554
Kerala,143.0
Sri Lanka A,140.375
Essex,167.3409090909091
India,148.1818181818182
Chittagong Vikings,162.5
